resume_text,category
"Python machine learning data science pandas numpy","Data Science"
"HTML CSS JavaScript React frontend web developer","Web Development"
"Java Spring Boot microservices backend developer","Java Developer"
"AWS Docker Kubernetes DevOps CI/CD","DevOps Engineer"
"Accounting finance taxation excel","Accountant"
"Recruitment hiring onboarding HR policies","HR"
"Deep learning NLP TensorFlow Python","Data Science"
"Node.js Express MongoDB backend APIs","Web Development"
"Linux Jenkins Docker AWS monitoring","DevOps Engineer"
"Payroll employee relations talent acquisition","HR"
